       N      mult_0      mult_1      mult_2      mult_3     mul_t_0     mul_t_1     mul_t_2     mul_t_3
       8     4.15383     4.36152     8.72305      5.1312      5.1312     3.96502     10.9038     10.9038
      16     3.21587     4.20388     10.1137     12.4615     3.32307      9.9692     17.4461     18.8606
      32     2.89489      3.6244     10.5361        22.1     3.25936      17.425     27.4576     28.3156
      64     2.53357     3.42271     9.75288      25.195     3.10623     22.1224     33.5933     28.3443
     128     2.22714     2.71179     9.17392     24.7801     2.74984     21.5587     35.3422     26.2911
     256     1.36788     1.63318     4.64275     23.3115     2.48551     14.1057     25.1658     25.4551
     512     1.08519     1.61738     5.36546     21.9267     2.41143     14.4982     24.7095     23.2503
    1024      1.0797     1.59363     5.12786     19.5495     2.34108     13.7034     26.1985     20.3232
